#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY1	PRKCD	9606.ENSP00000297323	9606.ENSP00000331602	0	0	0	0	0.057	0	0.900	0.172	0.915
ADCY1	RAPGEF4	9606.ENSP00000297323	9606.ENSP00000380271	0	0	0	0	0.166	0	0.900	0.405	0.946
ADCY1	PRKACA	9606.ENSP00000297323	9606.ENSP00000309591	0	0	0	0	0	0.096	0.900	0.478	0.948
ADCY1	PRKACB	9606.ENSP00000297323	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.488	0.949
ADCY1	RAPGEF3	9606.ENSP00000297323	9606.ENSP00000395708	0	0	0	0	0.059	0	0.900	0.593	0.958
ADCY1	PRKACG	9606.ENSP00000297323	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.626	0.963
ADCY1	CALML3	9606.ENSP00000297323	9606.ENSP00000315299	0	0	0	0	0	0.046	0.900	0.758	0.974
ADCY1	CALML4	9606.ENSP00000297323	9606.ENSP00000419081	0	0	0	0	0	0.045	0.900	0.765	0.975
ADCY1	CALML6	9606.ENSP00000297323	9606.ENSP00000304643	0	0	0	0	0	0.045	0.900	0.763	0.975
ADCY1	CALML5	9606.ENSP00000297323	9606.ENSP00000369689	0	0	0	0	0	0.046	0.900	0.769	0.976
ADCY2	MAPK1	9606.ENSP00000342952	9606.ENSP00000215832	0	0	0	0	0.054	0.094	0	0.429	0.468
ADCY2	RGS2	9606.ENSP00000342952	9606.ENSP00000235382	0	0	0	0	0	0	0	0.674	0.674
ADCY2	PDE1B	9606.ENSP00000342952	9606.ENSP00000243052	0	0	0	0	0.074	0	0.650	0.143	0.698
ADCY2	CACNA1C	9606.ENSP00000342952	9606.ENSP00000266376	0	0	0	0	0.071	0	0	0.545	0.559
ADCY2	CAMK4	9606.ENSP00000342952	9606.ENSP00000282356	0	0	0	0	0.059	0	0.650	0.210	0.717
ADCY2	ADCY8	9606.ENSP00000342952	9606.ENSP00000286355	0	0	0	0.851	0.118	0	0.500	0.170	0.602
ADCY2	CACNA1D	9606.ENSP00000342952	9606.ENSP00000288139	0	0	0	0	0.071	0	0	0.465	0.482
ADCY2	CALM3	9606.ENSP00000342952	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.297	0.745
ADCY2	ADCY9	9606.ENSP00000342952	9606.ENSP00000294016	0	0	0	0.713	0.062	0.153	0.500	0.242	0.658
ADCY2	ADCY1	9606.ENSP00000342952	9606.ENSP00000297323	0	0	0.074	0.833	0.084	0	0.500	0.408	0.715
ADCY2	CALML6	9606.ENSP00000342952	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.226	0.718
ADCY2	PRKACA	9606.ENSP00000342952	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.590	0.859
ADCY2	ADCY6	9606.ENSP00000342952	9606.ENSP00000311405	0	0	0.074	0.864	0	0.534	0.500	0.107	0.781
ADCY2	ADCY4	9606.ENSP00000342952	9606.ENSP00000312126	0	0	0.061	0.956	0	0	0.500	0.065	0.522
ADCY2	CALML3	9606.ENSP00000342952	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.293	0.743
ADCY2	PRKCD	9606.ENSP00000342952	9606.ENSP00000331602	0	0	0	0	0.067	0	0.900	0.117	0.910
ADCY2	PLCB1	9606.ENSP00000342952	9606.ENSP00000338185	0	0	0	0	0.111	0	0	0.460	0.500
ADCY2	FYN	9606.ENSP00000342952	9606.ENSP00000346671	0	0	0	0	0	0.061	0	0.438	0.449
ADCY2	AKAP5	9606.ENSP00000342952	9606.ENSP00000378207	0	0	0	0	0.062	0	0	0.485	0.496
ADCY2	ADCY7	9606.ENSP00000342952	9606.ENSP00000501053	0	0	0.064	0.949	0	0	0.500	0.068	0.525
ADCY2	ADCY3	9606.ENSP00000342952	9606.ENSP00000384484	0	0	0	0.828	0	0	0.500	0.185	0.575
ADCY2	AKT2	9606.ENSP00000342952	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY2	PDE1A	9606.ENSP00000342952	9606.ENSP00000410309	0	0	0	0	0.067	0	0.650	0.127	0.690
ADCY2	PDE1C	9606.ENSP00000342952	9606.ENSP00000379496	0	0	0	0	0.043	0	0.650	0.187	0.703
ADCY2	AKT1	9606.ENSP00000342952	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.183	0.708
ADCY2	PRKCA	9606.ENSP00000342952	9606.ENSP00000408695	0	0	0	0	0	0	0.650	0.214	0.713
ADCY2	PDE5A	9606.ENSP00000342952	9606.ENSP00000347046	0	0	0	0	0.055	0.126	0.670	0.120	0.728
ADCY2	CAMK2B	9606.ENSP00000342952	9606.ENSP00000379098	0	0	0	0	0.087	0.063	0.650	0.215	0.733
ADCY2	CALML5	9606.ENSP00000342952	9606.ENSP00000369689	0	0	0	0	0.042	0.046	0.650	0.275	0.737
ADCY2	CALML4	9606.ENSP00000342952	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.279	0.738
ADCY2	PDE4D	9606.ENSP00000342952	9606.ENSP00000345502	0	0	0	0	0.055	0.126	0.670	0.177	0.746
ADCY2	CAMK2A	9606.ENSP00000342952	9606.ENSP00000500386	0	0	0	0	0.210	0.063	0.650	0.165	0.754
ADCY2	PRKACG	9606.ENSP00000342952	9606.ENSP00000366488	0	0	0	0	0.042	0.096	0.650	0.316	0.764
ADCY2	PDE4A	9606.ENSP00000342952	9606.ENSP00000370078	0	0	0	0	0.055	0.126	0.670	0.248	0.768
ADCY2	PRKCB	9606.ENSP00000342952	9606.ENSP00000496129	0	0	0	0	0.067	0	0.650	0.348	0.768
ADCY2	PRKACB	9606.ENSP00000342952	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.363	0.781
ADCY2	ADCY5	9606.ENSP00000342952	9606.ENSP00000419361	0	0	0.066	0.871	0.084	0.653	0.500	0.379	0.891
ADCY2	CNR1	9606.ENSP00000342952	9606.ENSP00000358513	0	0	0	0	0.083	0	0.900	0.094	0.909
ADCY2	RAPGEF3	9606.ENSP00000342952	9606.ENSP00000395708	0	0	0	0	0.061	0	0.900	0.219	0.920
ADCY2	RAPGEF4	9606.ENSP00000342952	9606.ENSP00000380271	0	0	0	0	0.147	0	0.900	0.230	0.928
ADCY3	KCNQ1	9606.ENSP00000384484	9606.ENSP00000155840	0	0	0	0	0	0.051	0.900	0.158	0.913
ADCY3	MAPK1	9606.ENSP00000384484	9606.ENSP00000215832	0	0	0	0	0.061	0.094	0	0.445	0.487
ADCY3	RGS2	9606.ENSP00000384484	9606.ENSP00000235382	0	0	0	0	0	0	0.900	0.648	0.963
ADCY3	PDE1B	9606.ENSP00000384484	9606.ENSP00000243052	0	0	0	0	0.053	0	0.650	0.192	0.709
ADCY3	CNGB1	9606.ENSP00000384484	9606.ENSP00000251102	0	0	0	0	0.105	0.071	0.500	0.470	0.750
ADCY3	MAPK3	9606.ENSP00000384484	9606.ENSP00000263025	0	0	0	0	0.060	0.094	0	0.477	0.516
ADCY3	CAMK4	9606.ENSP00000384484	9606.ENSP00000282356	0	0	0	0	0	0	0.650	0.190	0.704
ADCY3	ADCY8	9606.ENSP00000384484	9606.ENSP00000286355	0	0	0	0.851	0	0	0.900	0.178	0.914
ADCY3	CALM3	9606.ENSP00000384484	9606.ENSP00000291295	0	0	0	0	0.044	0.046	0.900	0.472	0.945
ADCY3	ADCY9	9606.ENSP00000384484	9606.ENSP00000294016	0	0	0	0.706	0.069	0.124	0.900	0.278	0.933
ADCY3	ADCY1	9606.ENSP00000384484	9606.ENSP00000297323	0	0	0	0.811	0	0	0.900	0.137	0.910
ADCY3	CALML6	9606.ENSP00000384484	9606.ENSP00000304643	0	0	0	0	0	0.045	0.900	0.431	0.940
ADCY3	PRKACA	9606.ENSP00000384484	9606.ENSP00000309591	0	0	0	0	0	0.096	0.900	0.674	0.968
ADCY3	ADCY6	9606.ENSP00000384484	9606.ENSP00000311405	0	0	0.087	0.830	0.042	0	0.900	0.185	0.919
ADCY3	ADCY4	9606.ENSP00000384484	9606.ENSP00000312126	0	0	0.077	0.819	0.055	0	0.500	0.192	0.600
ADCY3	CALML3	9606.ENSP00000384484	9606.ENSP00000315299	0	0	0	0	0	0.046	0.900	0.452	0.943
ADCY3	CNGA2	9606.ENSP00000384484	9606.ENSP00000328478	0	0	0	0	0.058	0.047	0.500	0.885	0.941
ADCY3	PRKCD	9606.ENSP00000384484	9606.ENSP00000331602	0	0	0	0	0.064	0	0.900	0.069	0.905
ADCY3	ADCY2	9606.ENSP00000384484	9606.ENSP00000342952	0	0	0	0.828	0	0	0.500	0.185	0.575
ADCY3	PDE4D	9606.ENSP00000384484	9606.ENSP00000345502	0	0	0	0	0.055	0.126	0.670	0.231	0.763
ADCY3	PDE5A	9606.ENSP00000384484	9606.ENSP00000347046	0	0	0	0	0.055	0.126	0.670	0.526	0.853
ADCY3	ANO2	9606.ENSP00000384484	9606.ENSP00000348453	0	0	0	0	0	0	0	0.560	0.560
ADCY3	AKAP9	9606.ENSP00000384484	9606.ENSP00000348573	0	0	0	0	0	0.091	0	0.503	0.528
ADCY3	PCNT	9606.ENSP00000384484	9606.ENSP00000352572	0	0	0	0	0.049	0.091	0	0.370	0.408
ADCY3	CNR1	9606.ENSP00000384484	9606.ENSP00000358513	0	0	0	0	0	0	0.900	0.102	0.906
ADCY3	PRKACB	9606.ENSP00000384484	9606.ENSP00000359719	0	0	0	0	0	0.096	0.900	0.465	0.947
ADCY3	PRKACG	9606.ENSP00000384484	9606.ENSP00000366488	0	0	0	0	0	0.096	0.900	0.453	0.946
ADCY3	CNGA4	9606.ENSP00000384484	9606.ENSP00000369268	0	0	0	0	0.058	0.047	0.500	0.636	0.815
ADCY3	CALML5	9606.ENSP00000384484	9606.ENSP00000369689	0	0	0	0	0	0.046	0.900	0.446	0.942
ADCY3	PDE4A	9606.ENSP00000384484	9606.ENSP00000370078	0	0	0	0	0.080	0.126	0.670	0.407	0.822
ADCY3	AKT2	9606.ENSP00000384484	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.081	0.671
ADCY3	GAP43	9606.ENSP00000384484	9606.ENSP00000377372	0	0	0	0	0	0	0	0.419	0.419
ADCY3	CAMK2B	9606.ENSP00000384484	9606.ENSP00000379098	0	0	0	0	0	0.063	0.900	0.241	0.922
ADCY3	PDE1C	9606.ENSP00000384484	9606.ENSP00000379496	0	0	0	0	0	0	0.650	0.453	0.800
ADCY3	RAPGEF4	9606.ENSP00000384484	9606.ENSP00000380271	0	0	0	0	0.106	0	0.900	0.318	0.933
ADCY3	ADCY7	9606.ENSP00000384484	9606.ENSP00000501053	0	0	0.074	0.825	0.049	0	0.500	0.159	0.580
ADCY3	ADCY5	9606.ENSP00000384484	9606.ENSP00000419361	0	0	0.077	0.845	0	0	0.500	0.174	0.585
ADCY3	PRKCB	9606.ENSP00000384484	9606.ENSP00000496129	0	0	0	0	0.045	0	0.650	0.077	0.664
ADCY3	PRKCA	9606.ENSP00000384484	9606.ENSP00000408695	0	0	0	0	0.055	0	0.650	0.113	0.681
ADCY3	PDE1A	9606.ENSP00000384484	9606.ENSP00000410309	0	0	0	0	0	0	0.650	0.207	0.710
ADCY3	AKT1	9606.ENSP00000384484	9606.ENSP00000451828	0	0	0	0	0.059	0.061	0.650	0.211	0.723
ADCY3	CAMK2A	9606.ENSP00000384484	9606.ENSP00000500386	0	0	0	0	0	0.063	0.900	0.306	0.929
ADCY3	RAPGEF3	9606.ENSP00000384484	9606.ENSP00000395708	0	0	0	0	0.066	0	0.900	0.323	0.931
ADCY3	CALML4	9606.ENSP00000384484	9606.ENSP00000419081	0	0	0	0	0	0.045	0.900	0.464	0.944
ADCY4	PDE1B	9606.ENSP00000312126	9606.ENSP00000243052	0	0	0	0	0.068	0	0.650	0.243	0.731
ADCY4	CAMK4	9606.ENSP00000312126	9606.ENSP00000282356	0	0	0	0	0	0	0.650	0.134	0.684
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0.076	0.836	0.054	0	0.900	0.451	0.945
ADCY4	GNAQ	9606.ENSP00000312126	9606.ENSP00000286548	0	0	0	0	0.045	0	0	0.458	0.460
ADCY4	CALM3	9606.ENSP00000312126	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.374	0.773
ADCY4	ADCY9	9606.ENSP00000312126	9606.ENSP00000294016	0	0	0	0.731	0.062	0.271	0.500	0.272	0.717
ADCY4	ADCY1	9606.ENSP00000312126	9606.ENSP00000297323	0	0	0.087	0.834	0	0	0.500	0.129	0.568
ADCY4	CALML6	9606.ENSP00000312126	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.330	0.756
ADCY4	PRKACA	9606.ENSP00000312126	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.409	0.796
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0	0.091	0.858	0.050	0.417	0.900	0.151	0.949
ADCY4	ADCY2	9606.ENSP00000312126	9606.ENSP00000342952	0	0	0.061	0.956	0	0	0.500	0.065	0.522
ADCY4	ADCY3	9606.ENSP00000312126	9606.ENSP00000384484	0	0	0.077	0.819	0.055	0	0.500	0.192	0.600
ADCY4	CAMK2A	9606.ENSP00000312126	9606.ENSP00000500386	0	0	0	0	0.042	0.063	0.650	0.091	0.676
ADCY4	AKT2	9606.ENSP00000312126	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.094	0.676
ADCY4	PRKCA	9606.ENSP00000312126	9606.ENSP00000408695	0	0	0	0	0	0	0.650	0.142	0.687
ADCY4	PRKCB	9606.ENSP00000312126	9606.ENSP00000496129	0	0	0	0	0	0	0.650	0.172	0.698
ADCY4	AKT1	9606.ENSP00000312126	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.162	0.700
ADCY4	CAMK2B	9606.ENSP00000312126	9606.ENSP00000379098	0	0	0	0	0	0.063	0.650	0.170	0.704
ADCY4	PDE1A	9606.ENSP00000312126	9606.ENSP00000410309	0	0	0	0	0.056	0	0.650	0.201	0.713
ADCY4	PDE1C	9606.ENSP00000312126	9606.ENSP00000379496	0	0	0	0	0	0	0.650	0.219	0.715
ADCY4	PDE5A	9606.ENSP00000312126	9606.ENSP00000347046	0	0	0	0	0.055	0.126	0.670	0.154	0.739
ADCY4	CALML3	9606.ENSP00000312126	9606.ENSP00000315299	0	0	0	0	0.049	0.046	0.650	0.368	0.772
ADCY4	CALML5	9606.ENSP00000312126	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.373	0.772
ADCY4	CALML4	9606.ENSP00000312126	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.392	0.779
ADCY4	ADCY7	9606.ENSP00000312126	9606.ENSP00000501053	0	0	0.071	0.938	0	0.271	0.500	0.427	0.780
ADCY4	PRKACG	9606.ENSP00000312126	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.398	0.792
ADCY4	PDE4D	9606.ENSP00000312126	9606.ENSP00000345502	0	0	0	0	0.055	0.126	0.670	0.327	0.792
ADCY4	PRKACB	9606.ENSP00000312126	9606.ENSP00000359719	0	0	0	0	0	0.096	0.650	0.402	0.794
ADCY4	PDE4A	9606.ENSP00000312126	9606.ENSP00000370078	0	0	0	0	0.057	0.126	0.670	0.357	0.802
ADCY4	ADCY5	9606.ENSP00000312126	9606.ENSP00000419361	0	0	0.082	0.853	0.044	0.417	0.500	0.457	0.835
ADCY4	CNR1	9606.ENSP00000312126	9606.ENSP00000358513	0	0	0	0	0.056	0	0.900	0.101	0.907
ADCY4	PRKCD	9606.ENSP00000312126	9606.ENSP00000331602	0	0	0	0	0.087	0	0.900	0.073	0.908
ADCY4	RAPGEF3	9606.ENSP00000312126	9606.ENSP00000395708	0	0	0	0	0.166	0	0.900	0.337	0.939
ADCY4	RAPGEF4	9606.ENSP00000312126	9606.ENSP00000380271	0	0	0	0	0.108	0	0.900	0.554	0.956
ADCY5	KCNQ1	9606.ENSP00000419361	9606.ENSP00000155840	0	0	0	0	0	0.051	0	0.490	0.495
ADCY5	RGS2	9606.ENSP00000419361	9606.ENSP00000235382	0	0	0	0	0	0.292	0	0.549	0.667
ADCY5	PDE1B	9606.ENSP00000419361	9606.ENSP00000243052	0	0	0	0	0.067	0	0.650	0.559	0.843
ADCY5	MAPK3	9606.ENSP00000419361	9606.ENSP00000263025	0	0	0	0	0.059	0.094	0	0.398	0.442
ADCY5	CACNA1C	9606.ENSP00000419361	9606.ENSP00000266376	0	0	0	0	0.108	0	0	0.770	0.786
ADCY5	IQGAP1	9606.ENSP00000419361	9606.ENSP00000268182	0	0	0	0	0.055	0	0.500	0.073	0.523
ADCY5	AKAP6	9606.ENSP00000419361	9606.ENSP00000280979	0	0	0	0	0.085	0	0	0.693	0.707
ADCY5	CAMK4	9606.ENSP00000419361	9606.ENSP00000282356	0	0	0	0	0.060	0	0.650	0.175	0.705
ADCY5	ADCY8	9606.ENSP00000419361	9606.ENSP00000286355	0	0	0.070	0.865	0.099	0	0.500	0.409	0.719
ADCY5	CALM3	9606.ENSP00000419361	9606.ENSP00000291295	0	0	0	0	0.067	0.046	0.650	0.542	0.838
ADCY5	ADCY9	9606.ENSP00000419361	9606.ENSP00000294016	0	0	0	0.675	0.062	0.124	0.500	0.629	0.827
ADCY5	ADCY1	9606.ENSP00000419361	9606.ENSP00000297323	0	0	0.079	0.881	0.108	0	0.500	0.132	0.595
ADCY5	CALML6	9606.ENSP00000419361	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.500	0.818
ADCY5	PRKACA	9606.ENSP00000419361	9606.ENSP00000309591	0	0	0	0	0.042	0.096	0.650	0.951	0.983
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0.056	0.968	0.062	0	0.900	0.602	0.960
ADCY5	ADCY4	9606.ENSP00000419361	9606.ENSP00000312126	0	0	0.082	0.853	0.044	0.417	0.500	0.457	0.835
ADCY5	CALML3	9606.ENSP00000419361	9606.ENSP00000315299	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY5	PRKCD	9606.ENSP00000419361	9606.ENSP00000331602	0	0	0	0	0.057	0	0.900	0.158	0.913
ADCY5	PLCB1	9606.ENSP00000419361	9606.ENSP00000338185	0	0	0	0	0.111	0	0	0.686	0.709
ADCY5	CAV1	9606.ENSP00000419361	9606.ENSP00000339191	0	0	0	0	0	0.295	0	0.198	0.411
ADCY5	CAV3	9606.ENSP00000419361	9606.ENSP00000341940	0	0	0	0	0.042	0.042	0	0.743	0.743
ADCY5	ADCY2	9606.ENSP00000419361	9606.ENSP00000342952	0	0	0.066	0.871	0.084	0.653	0.500	0.379	0.891
ADCY5	PDE4D	9606.ENSP00000419361	9606.ENSP00000345502	0	0	0	0	0.055	0.126	0.670	0.404	0.816
ADCY5	PDE5A	9606.ENSP00000419361	9606.ENSP00000347046	0	0	0	0	0.063	0.126	0.670	0.309	0.788
ADCY5	AKAP9	9606.ENSP00000419361	9606.ENSP00000348573	0	0	0	0	0	0.091	0	0.598	0.618
ADCY5	RYR2	9606.ENSP00000419361	9606.ENSP00000355533	0	0	0	0	0.132	0	0	0.566	0.608
ADCY5	CNR1	9606.ENSP00000419361	9606.ENSP00000358513	0	0	0	0	0.105	0	0.900	0.203	0.922
ADCY5	PRKACB	9606.ENSP00000419361	9606.ENSP00000359719	0	0	0	0	0.058	0.096	0.650	0.924	0.974
ADCY5	PRKACG	9606.ENSP00000419361	9606.ENSP00000366488	0	0	0	0	0	0.096	0.650	0.924	0.973
ADCY5	PLCB4	9606.ENSP00000419361	9606.ENSP00000367762	0	0	0	0	0.111	0	0	0.453	0.494
ADCY5	CALML5	9606.ENSP00000419361	9606.ENSP00000369689	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY5	PDE4A	9606.ENSP00000419361	9606.ENSP00000370078	0	0	0	0	0.073	0.126	0.670	0.505	0.850
ADCY5	AKT2	9606.ENSP00000419361	9606.ENSP00000375892	0	0	0	0	0	0.061	0.650	0.314	0.755
ADCY5	GAP43	9606.ENSP00000419361	9606.ENSP00000377372	0	0	0	0	0.111	0	0	0.481	0.519
ADCY5	AKAP5	9606.ENSP00000419361	9606.ENSP00000378207	0	0	0	0	0	0	0.500	0.966	0.982
ADCY5	CAMK2B	9606.ENSP00000419361	9606.ENSP00000379098	0	0	0	0	0.109	0.063	0.650	0.180	0.728
ADCY5	PDE1C	9606.ENSP00000419361	9606.ENSP00000379496	0	0	0	0	0.080	0	0.650	0.646	0.876
ADCY5	RAPGEF4	9606.ENSP00000419361	9606.ENSP00000380271	0	0	0	0	0.165	0	0.900	0.512	0.955
ADCY5	ADCY3	9606.ENSP00000419361	9606.ENSP00000384484	0	0	0.077	0.845	0	0	0.500	0.174	0.585
ADCY5	ALDH7A1	9606.ENSP00000419361	9606.ENSP00000387123	0	0	0	0	0	0	0	0.437	0.437
ADCY5	RAPGEF3	9606.ENSP00000419361	9606.ENSP00000395708	0	0	0	0	0.115	0	0.900	0.809	0.981
ADCY5	ESR1	9606.ENSP00000419361	9606.ENSP00000405330	0	0	0	0	0.044	0	0	0.424	0.425
ADCY5	PRKCA	9606.ENSP00000419361	9606.ENSP00000408695	0	0	0	0	0	0	0.650	0.668	0.878
ADCY5	PDE1A	9606.ENSP00000419361	9606.ENSP00000410309	0	0	0	0	0.109	0	0.650	0.418	0.802
ADCY5	CALML4	9606.ENSP00000419361	9606.ENSP00000419081	0	0	0	0	0	0.045	0.650	0.525	0.827
ADCY5	CAMK1D	9606.ENSP00000419361	9606.ENSP00000478874	0	0	0	0	0.060	0	0	0.389	0.401
ADCY5	AKAP1	9606.ENSP00000419361	9606.ENSP00000478212	0	0	0	0	0	0	0	0.474	0.474
ADCY5	STIM1	9606.ENSP00000419361	9606.ENSP00000478059	0	0	0	0	0	0	0	0.513	0.513
ADCY5	PRKCB	9606.ENSP00000419361	9606.ENSP00000496129	0	0	0	0	0.042	0	0.650	0.200	0.708
ADCY5	AKT1	9606.ENSP00000419361	9606.ENSP00000451828	0	0	0	0	0	0.061	0.650	0.264	0.737
ADCY5	CAMK2A	9606.ENSP00000419361	9606.ENSP00000500386	0	0	0	0	0.109	0.063	0.650	0.276	0.760
ADCY5	ADCY7	9606.ENSP00000419361	9606.ENSP00000501053	0	0	0.076	0.852	0	0.417	0.500	0.373	0.808
ADCY6	OCM	9606.ENSP00000311405	9606.ENSP00000242104	0	0	0	0	0	0.045	0	0.458	0.460
ADCY6	PDE1B	9606.ENSP00000311405	9606.ENSP00000243052	0	0	0	0	0	0	0.650	0.446	0.798
ADCY6	IQGAP1	9606.ENSP00000311405	9606.ENSP00000268182	0	0	0	0	0.055	0	0.500	0.073	0.523
ADCY6	EGFR	9606.ENSP00000311405	9606.ENSP00000275493	0	0	0	0	0.120	0	0	0.463	0.507
ADCY6	CAMK4	9606.ENSP00000311405	9606.ENSP00000282356	0	0	0	0	0	0	0.650	0.146	0.688
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0.066	0.871	0	0	0.900	0.138	0.912
ADCY6	CALM3	9606.ENSP00000311405	9606.ENSP00000291295	0	0	0	0	0	0.046	0.650	0.518	0.825
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0	0.693	0.076	0.124	0.900	0.544	0.958
ADCY6	ADCY1	9606.ENSP00000311405	9606.ENSP00000297323	0	0	0.081	0.875	0.044	0	0.500	0.109	0.556
ADCY6	NOS3	9606.ENSP00000311405	9606.ENSP00000297494	0	0	0	0	0	0	0	0.447	0.447
ADCY6	CALML6	9606.ENSP00000311405	9606.ENSP00000304643	0	0	0	0	0	0.045	0.650	0.499	0.818
ADCY6	PRKACA	9606.ENSP00000311405	9606.ENSP00000309591	0	0	0	0	0	0.096	0.650	0.596	0.861
ADCY6	ALDH7A1	9606.ENSP00000311405	9606.ENSP00000387123	0	0	0	0	0.048	0	0	0.403	0.407
